tahun_anggaran,kd_klpd,kd_satker,kd_satker_str,kd_lpse,kd_nontender,kd_tahapan,nama_tahapan,kd_akt,nama_akt,tgl_awal,tgl_akhir,_event_date
2025,"D107","42920093","5.01.5.05.0.00.26.0000",93,10033436000,18798,"Pembukaan file dokumen penawaran  (dokumen penawaran harga, administrasi dan teknis) serta dokumen kualifikasi",2,"PEMBUKAAN_PENAWARAN","2024-12-31T12:01:00.000000Z","2024-12-31T12:02:00.000000Z","2025-10-10"
2025,"D107","42920093","5.01.5.05.0.00.26.0000",93,10033436000,18781,"Evaluasi penawaran",3,"EVALUASI_PENAWARAN","2024-12-31T12:03:00.000000Z","2024-12-31T23:59:00.000000Z","2025-10-10"
2025,"D107","42920093","5.01.5.05.0.00.26.0000",93,10033436000,18840,,4,"KLARIFIKASI_NEGOSIASI","2024-12-31T13:00:00.000000Z","2024-12-31T23:59:00.000000Z","2025-10-10"
2025,"D107","42920093","5.01.5.05.0.00.26.0000",93,10033436000,18841,,5,"TANDATANGAN_SPK","2025-01-02T08:00:00.000000Z","2025-01-15T16:00:00.000000Z","2025-10-10"
2025,"D107","42920093","5.01.5.05.0.00.26.0000",93,10034095000,18833,"Upload Dokumen Penawaran",1,"PEMASUKAN_PENAWARAN","2024-12-27T09:00:00.000000Z","2024-12-30T09:00:00.000000Z","2025-10-10"
2025,"D107","42920093","5.01.5.05.0.00.26.0000",93,10034095000,18798,"Pembukaan file dokumen penawaran  (dokumen penawaran harga, administrasi dan teknis) serta dokumen kualifikasi",2,"PEMBUKAAN_PENAWARAN","2024-12-30T09:01:00.000000Z","2024-12-30T09:02:00.000000Z","2025-10-10"
2025,"D107","42920093","5.01.5.05.0.00.26.0000",93,10034095000,18781,"Evaluasi penawaran",3,"EVALUASI_PENAWARAN","2024-12-30T09:03:00.000000Z","2024-12-31T23:59:00.000000Z","2025-10-10"
2025,"D107","42920093","5.01.5.05.0.00.26.0000",93,10034095000,18840,,4,"KLARIFIKASI_NEGOSIASI","2024-12-31T08:00:00.000000Z","2024-12-31T15:00:00.000000Z","2025-10-10"
2025,"D107","42920093","5.01.5.05.0.00.26.0000",93,10034095000,18841,,5,"TANDATANGAN_SPK","2025-01-02T08:00:00.000000Z","2025-01-15T16:00:00.000000Z","2025-10-10"
2025,"D107","11914093","2.09.3.25.0.00.10.0000",93,10034898000,18833,"Upload Dokumen Penawaran",1,"PEMASUKAN_PENAWARAN","2024-12-27T11:30:00.000000Z","2024-12-30T15:00:00.000000Z","2025-10-10"
2025,"D107","11914093","2.09.3.25.0.00.10.0000",93,10034898000,18798,"Pembukaan file dokumen penawaran  (dokumen penawaran harga, administrasi dan teknis) serta dokumen kualifikasi",2,"PEMBUKAAN_PENAWARAN","2024-12-30T15:01:00.000000Z","2024-12-30T15:05:00.000000Z","2025-10-10"
2025,"D107","11914093","2.09.3.25.0.00.10.0000",93,10034898000,18781,"Evaluasi penawaran",3,"EVALUASI_PENAWARAN","2024-12-30T15:06:00.000000Z","2024-12-31T23:59:00.000000Z","2025-10-10"
2025,"D107","11914093","2.09.3.25.0.00.10.0000",93,10034898000,18840,,4,"KLARIFIKASI_NEGOSIASI","2024-12-31T08:00:00.000000Z","2024-12-31T23:59:00.000000Z","2025-10-10"
2025,"D107","11914093","2.09.3.25.0.00.10.0000",93,10034898000,18841,,5,"TANDATANGAN_SPK","2025-01-02T08:00:00.000000Z","2025-01-10T08:00:00.000000Z","2025-10-10"
2025,"D107","42920093","5.01.5.05.0.00.26.0000",93,10034959000,18833,"Upload Dokumen Penawaran",1,"PEMASUKAN_PENAWARAN","2024-12-27T09:00:00.000000Z","2024-12-30T09:00:00.000000Z","2025-10-10"
2025,"D107","42920093","5.01.5.05.0.00.26.0000",93,10034959000,18798,"Pembukaan file dokumen penawaran  (dokumen penawaran harga, administrasi dan teknis) serta dokumen kualifikasi",2,"PEMBUKAAN_PENAWARAN","2024-12-30T09:01:00.000000Z","2024-12-30T09:02:00.000000Z","2025-10-10"
2025,"D107","42920093","5.01.5.05.0.00.26.0000",93,10034959000,18781,"Evaluasi penawaran",3,"EVALUASI_PENAWARAN","2024-12-30T09:03:00.000000Z","2024-12-31T23:59:00.000000Z","2025-10-10"
2025,"D107","42920093","5.01.5.05.0.00.26.0000",93,10034959000,18840,,4,"KLARIFIKASI_NEGOSIASI","2024-12-31T08:00:00.000000Z","2024-12-31T15:00:00.000000Z","2025-10-10"
2025,"D107","42920093","5.01.5.05.0.00.26.0000",93,10034959000,18841,,5,"TANDATANGAN_SPK","2025-01-02T08:00:00.000000Z","2025-01-15T16:00:00.000000Z","2025-10-10"
2025,"D107","42920093","5.01.5.05.0.00.26.0000",93,10035566000,18833,"Upload Dokumen Penawaran",1,"PEMASUKAN_PENAWARAN","2024-12-30T20:20:00.000000Z","2025-01-03T10:00:00.000000Z","2025-10-10"
2025,"D107","42920093","5.01.5.05.0.00.26.0000",93,10035566000,18798,"Pembukaan file dokumen penawaran  (dokumen penawaran harga, administrasi dan teknis) serta dokumen kualifikasi",2,"PEMBUKAAN_PENAWARAN","2025-01-03T10:01:00.000000Z","2025-01-03T10:02:00.000000Z","2025-10-10"
2025,"D107","42920093","5.01.5.05.0.00.26.0000",93,10035566000,18781,"Evaluasi penawaran",3,"EVALUASI_PENAWARAN","2025-01-03T10:03:00.000000Z","2025-01-03T23:59:00.000000Z","2025-10-10"
2025,"D107","42920093","5.01.5.05.0.00.26.0000",93,10035566000,18840,,4,"KLARIFIKASI_NEGOSIASI","2025-01-03T10:30:00.000000Z","2025-01-03T23:59:00.000000Z","2025-10-10"
2025,"D107","42920093","5.01.5.05.0.00.26.0000",93,10035566000,18841,,5,"TANDATANGAN_SPK","2025-01-06T08:00:00.000000Z","2025-01-20T16:00:00.000000Z","2025-10-10"
2025,"D107","12335093","1.03.2.15.1.04.03.0000",93,10035567000,18833,"Upload Dokumen Penawaran",1,"PEMASUKAN_PENAWARAN","2025-01-04T13:00:00.000000Z","2025-01-06T09:00:00.000000Z","2025-10-10"
2025,"D107","12335093","1.03.2.15.1.04.03.0000",93,10035567000,18798,"Pembukaan file dokumen penawaran  (dokumen penawaran harga, administrasi dan teknis) serta dokumen kualifikasi",2,"PEMBUKAAN_PENAWARAN","2025-01-06T09:01:00.000000Z","2025-01-06T09:04:00.000000Z","2025-10-10"
2025,"D107","12335093","1.03.2.15.1.04.03.0000",93,10035567000,18781,"Evaluasi penawaran",3,"EVALUASI_PENAWARAN","2025-01-06T09:05:00.000000Z","2025-01-06T23:59:00.000000Z","2025-10-10"
2025,"D107","12335093","1.03.2.15.1.04.03.0000",93,10035567000,18840,,4,"KLARIFIKASI_NEGOSIASI","2025-01-06T13:00:00.000000Z","2025-01-06T23:59:00.000000Z","2025-10-10"
2025,"D107","12335093","1.03.2.15.1.04.03.0000",93,10035567000,18841,,5,"TANDATANGAN_SPK","2025-01-07T08:00:00.000000Z","2025-01-14T08:00:00.000000Z","2025-10-10"
2025,"D107","12335093","1.03.2.15.1.04.03.0000",93,10035568000,18833,"Upload Dokumen Penawaran",1,"PEMASUKAN_PENAWARAN","2025-01-04T13:00:00.000000Z","2025-01-06T14:00:00.000000Z","2025-10-10"
2025,"D107","12335093","1.03.2.15.1.04.03.0000",93,10035568000,18798,"Pembukaan file dokumen penawaran  (dokumen penawaran harga, administrasi dan teknis) serta dokumen kualifikasi",2,"PEMBUKAAN_PENAWARAN","2025-01-06T14:01:00.000000Z","2025-01-06T14:04:00.000000Z","2025-10-10"
2025,"D107","12335093","1.03.2.15.1.04.03.0000",93,10035568000,18781,"Evaluasi penawaran",3,"EVALUASI_PENAWARAN","2025-01-06T14:05:00.000000Z","2025-01-06T23:59:00.000000Z","2025-10-10"
2025,"D107","12335093","1.03.2.15.1.04.03.0000",93,10035568000,18840,,4,"KLARIFIKASI_NEGOSIASI","2025-01-06T15:00:00.000000Z","2025-01-06T23:59:00.000000Z","2025-10-10"
2025,"D107","12335093","1.03.2.15.1.04.03.0000",93,10035568000,18841,,5,"TANDATANGAN_SPK","2025-01-07T08:00:00.000000Z","2025-01-14T08:00:00.000000Z","2025-10-10"
2025,"D107","12335093","1.03.2.15.1.04.03.0000",93,10035569000,18833,"Upload Dokumen Penawaran",1,"PEMASUKAN_PENAWARAN","2025-01-04T13:00:00.000000Z","2025-01-06T09:00:00.000000Z","2025-10-10"
2025,"D107","12335093","1.03.2.15.1.04.03.0000",93,10035569000,18798,"Pembukaan file dokumen penawaran  (dokumen penawaran harga, administrasi dan teknis) serta dokumen kualifikasi",2,"PEMBUKAAN_PENAWARAN","2025-01-06T09:01:00.000000Z","2025-01-06T09:04:00.000000Z","2025-10-10"
2025,"D107","12335093","1.03.2.15.1.04.03.0000",93,10035569000,18781,"Evaluasi penawaran",3,"EVALUASI_PENAWARAN","2025-01-06T09:05:00.000000Z","2025-01-06T23:59:00.000000Z","2025-10-10"
2025,"D107","12335093","1.03.2.15.1.04.03.0000",93,10035569000,18840,,4,"KLARIFIKASI_NEGOSIASI","2025-01-06T13:00:00.000000Z","2025-01-06T23:59:00.000000Z","2025-10-10"
2025,"D107","12335093","1.03.2.15.1.04.03.0000",93,10035569000,18841,,5,"TANDATANGAN_SPK","2025-01-07T08:00:00.000000Z","2025-01-14T08:00:00.000000Z","2025-10-10"
2025,"D107","12335093","1.03.2.15.1.04.03.0000",93,10035570000,18833,"Upload Dokumen Penawaran",1,"PEMASUKAN_PENAWARAN","2025-01-04T13:00:00.000000Z","2025-01-06T09:00:00.000000Z","2025-10-10"
2025,"D107","12335093","1.03.2.15.1.04.03.0000",93,10035570000,18798,"Pembukaan file dokumen penawaran  (dokumen penawaran harga, administrasi dan teknis) serta dokumen kualifikasi",2,"PEMBUKAAN_PENAWARAN","2025-01-06T09:01:00.000000Z","2025-01-06T09:04:00.000000Z","2025-10-10"
2025,"D107","12335093","1.03.2.15.1.04.03.0000",93,10035570000,18781,"Evaluasi penawaran",3,"EVALUASI_PENAWARAN","2025-01-06T09:05:00.000000Z","2025-01-06T23:59:00.000000Z","2025-10-10"
2025,"D107","12335093","1.03.2.15.1.04.03.0000",93,10035570000,18840,,4,"KLARIFIKASI_NEGOSIASI","2025-01-06T13:00:00.000000Z","2025-01-06T23:59:00.000000Z","2025-10-10"
2025,"D107","12335093","1.03.2.15.1.04.03.0000",93,10035570000,18841,,5,"TANDATANGAN_SPK","2025-01-07T08:00:00.000000Z","2025-01-14T08:00:00.000000Z","2025-10-10"
2025,"D107","12335093","1.03.2.15.1.04.03.0000",93,10035571000,18833,"Upload Dokumen Penawaran",1,"PEMASUKAN_PENAWARAN","2025-01-04T13:00:00.000000Z","2025-01-06T14:00:00.000000Z","2025-10-10"
2025,"D107","12335093","1.03.2.15.1.04.03.0000",93,10035571000,18798,"Pembukaan file dokumen penawaran  (dokumen penawaran harga, administrasi dan teknis) serta dokumen kualifikasi",2,"PEMBUKAAN_PENAWARAN","2025-01-06T14:01:00.000000Z","2025-01-06T14:04:00.000000Z","2025-10-10"
2025,"D107","12335093","1.03.2.15.1.04.03.0000",93,10035571000,18781,"Evaluasi penawaran",3,"EVALUASI_PENAWARAN","2025-01-06T14:05:00.000000Z","2025-01-06T23:59:00.000000Z","2025-10-10"
2025,"D107","12335093","1.03.2.15.1.04.03.0000",93,10035571000,18840,,4,"KLARIFIKASI_NEGOSIASI","2025-01-06T15:00:00.000000Z","2025-01-06T23:59:00.000000Z","2025-10-10"
2025,"D107","12335093","1.03.2.15.1.04.03.0000",93,10035571000,18841,,5,"TANDATANGAN_SPK","2025-01-07T08:00:00.000000Z","2025-01-14T08:00:00.000000Z","2025-10-10"
2025,"D107","33673093","5.02.0.00.0.00.27.0000",93,10035581000,18833,"Upload Dokumen Penawaran",1,"PEMASUKAN_PENAWARAN","2024-12-27T15:00:00.000000Z","2024-12-30T12:00:00.000000Z","2025-10-10"
2025,"D107","33673093","5.02.0.00.0.00.27.0000",93,10035581000,18798,"Pembukaan file dokumen penawaran  (dokumen penawaran harga, administrasi dan teknis) serta dokumen kualifikasi",2,"PEMBUKAAN_PENAWARAN","2024-12-30T12:01:00.000000Z","2024-12-30T23:59:00.000000Z","2025-10-10"
2025,"D107","33673093","5.02.0.00.0.00.27.0000",93,10035581000,18781,"Evaluasi penawaran",3,"EVALUASI_PENAWARAN","2024-12-31T09:00:00.000000Z","2024-12-31T19:00:00.000000Z","2025-10-10"
2025,"D107","33673093","5.02.0.00.0.00.27.0000",93,10035581000,18840,,4,"KLARIFIKASI_NEGOSIASI","2024-12-31T09:00:00.000000Z","2024-12-31T19:00:00.000000Z","2025-10-10"
2025,"D107","33673093","5.02.0.00.0.00.27.0000",93,10035581000,18841,,5,"TANDATANGAN_SPK","2025-01-01T08:00:00.000000Z","2025-01-02T16:00:00.000000Z","2025-10-10"
2025,"D107","12335093","1.03.2.15.1.04.03.0000",93,10036119000,18833,"Upload Dokumen Penawaran",1,"PEMASUKAN_PENAWARAN","2025-01-04T13:00:00.000000Z","2025-01-06T09:00:00.000000Z","2025-10-10"
2025,"D107","12335093","1.03.2.15.1.04.03.0000",93,10036119000,18798,"Pembukaan file dokumen penawaran  (dokumen penawaran harga, administrasi dan teknis) serta dokumen kualifikasi",2,"PEMBUKAAN_PENAWARAN","2025-01-06T09:01:00.000000Z","2025-01-06T09:04:00.000000Z","2025-10-10"
2025,"D107","12335093","1.03.2.15.1.04.03.0000",93,10036119000,18781,"Evaluasi penawaran",3,"EVALUASI_PENAWARAN","2025-01-06T09:05:00.000000Z","2025-01-06T23:59:00.000000Z","2025-10-10"
2025,"D107","12335093","1.03.2.15.1.04.03.0000",93,10036119000,18840,,4,"KLARIFIKASI_NEGOSIASI","2025-01-06T13:00:00.000000Z","2025-01-06T23:59:00.000000Z","2025-10-10"
2025,"D107","12335093","1.03.2.15.1.04.03.0000",93,10036119000,18841,,5,"TANDATANGAN_SPK","2025-01-07T08:00:00.000000Z","2025-01-14T08:00:00.000000Z","2025-10-10"
2025,"D107","12335093","1.03.2.15.1.04.03.0000",93,10036130000,18833,"Upload Dokumen Penawaran",1,"PEMASUKAN_PENAWARAN","2025-01-04T13:00:00.000000Z","2025-01-06T09:00:00.000000Z","2025-10-10"
2025,"D107","12335093","1.03.2.15.1.04.03.0000",93,10036130000,18798,"Pembukaan file dokumen penawaran  (dokumen penawaran harga, administrasi dan teknis) serta dokumen kualifikasi",2,"PEMBUKAAN_PENAWARAN","2025-01-06T09:01:00.000000Z","2025-01-06T09:04:00.000000Z","2025-10-10"
2025,"D107","12335093","1.03.2.15.1.04.03.0000",93,10036130000,18781,"Evaluasi penawaran",3,"EVALUASI_PENAWARAN","2025-01-06T09:05:00.000000Z","2025-01-06T23:59:00.000000Z","2025-10-10"
2025,"D107","12335093","1.03.2.15.1.04.03.0000",93,10036130000,18840,,4,"KLARIFIKASI_NEGOSIASI","2025-01-06T13:00:00.000000Z","2025-01-06T23:59:00.000000Z","2025-10-10"
2025,"D107","12335093","1.03.2.15.1.04.03.0000",93,10036130000,18841,,5,"TANDATANGAN_SPK","2025-01-07T08:00:00.000000Z","2025-01-14T08:00:00.000000Z","2025-10-10"
2025,"D107","12335093","1.03.2.15.1.04.03.0000",93,10036132000,18833,"Upload Dokumen Penawaran",1,"PEMASUKAN_PENAWARAN","2025-01-04T13:00:00.000000Z","2025-01-06T09:00:00.000000Z","2025-10-10"
2025,"D107","12335093","1.03.2.15.1.04.03.0000",93,10036132000,18798,"Pembukaan file dokumen penawaran  (dokumen penawaran harga, administrasi dan teknis) serta dokumen kualifikasi",2,"PEMBUKAAN_PENAWARAN","2025-01-06T09:01:00.000000Z","2025-01-06T09:04:00.000000Z","2025-10-10"
2025,"D107","12335093","1.03.2.15.1.04.03.0000",93,10036132000,18781,"Evaluasi penawaran",3,"EVALUASI_PENAWARAN","2025-01-06T09:05:00.000000Z","2025-01-06T23:59:00.000000Z","2025-10-10"
2025,"D107","12335093","1.03.2.15.1.04.03.0000",93,10036132000,18840,,4,"KLARIFIKASI_NEGOSIASI","2025-01-06T13:00:00.000000Z","2025-01-06T23:59:00.000000Z","2025-10-10"
2025,"D107","12335093","1.03.2.15.1.04.03.0000",93,10036132000,18841,,5,"TANDATANGAN_SPK","2025-01-07T08:00:00.000000Z","2025-01-14T08:00:00.000000Z","2025-10-10"
2025,"D107","12335093","1.03.2.15.1.04.03.0000",93,10036133000,18833,"Upload Dokumen Penawaran",1,"PEMASUKAN_PENAWARAN","2025-01-03T17:00:00.000000Z","2025-01-06T14:00:00.000000Z","2025-10-10"
2025,"D107","12335093","1.03.2.15.1.04.03.0000",93,10036133000,18798,"Pembukaan file dokumen penawaran  (dokumen penawaran harga, administrasi dan teknis) serta dokumen kualifikasi",2,"PEMBUKAAN_PENAWARAN","2025-01-06T14:01:00.000000Z","2025-01-06T14:04:00.000000Z","2025-10-10"
2025,"D107","12335093","1.03.2.15.1.04.03.0000",93,10036133000,18781,"Evaluasi penawaran",3,"EVALUASI_PENAWARAN","2025-01-06T14:05:00.000000Z","2025-01-06T23:59:00.000000Z","2025-10-10"
2025,"D107","12335093","1.03.2.15.1.04.03.0000",93,10036133000,18840,,4,"KLARIFIKASI_NEGOSIASI","2025-01-06T15:00:00.000000Z","2025-01-06T23:59:00.000000Z","2025-10-10"
2025,"D107","12335093","1.03.2.15.1.04.03.0000",93,10036133000,18841,,5,"TANDATANGAN_SPK","2025-01-07T08:00:00.000000Z","2025-01-14T08:00:00.000000Z","2025-10-10"
2025,"D107","12335093","1.03.2.15.1.04.03.0000",93,10036134000,18833,"Upload Dokumen Penawaran",1,"PEMASUKAN_PENAWARAN","2025-01-03T17:00:00.000000Z","2025-01-06T09:00:00.000000Z","2025-10-10"
2025,"D107","12335093","1.03.2.15.1.04.03.0000",93,10036134000,18798,"Pembukaan file dokumen penawaran  (dokumen penawaran harga, administrasi dan teknis) serta dokumen kualifikasi",2,"PEMBUKAAN_PENAWARAN","2025-01-06T09:01:00.000000Z","2025-01-06T09:04:00.000000Z","2025-10-10"
2025,"D107","12335093","1.03.2.15.1.04.03.0000",93,10036134000,18781,"Evaluasi penawaran",3,"EVALUASI_PENAWARAN","2025-01-06T09:05:00.000000Z","2025-01-06T23:59:00.000000Z","2025-10-10"
2025,"D107","12335093","1.03.2.15.1.04.03.0000",93,10036134000,18840,,4,"KLARIFIKASI_NEGOSIASI","2025-01-06T13:00:00.000000Z","2025-01-06T23:59:00.000000Z","2025-10-10"
2025,"D107","12335093","1.03.2.15.1.04.03.0000",93,10036134000,18841,,5,"TANDATANGAN_SPK","2025-01-07T08:00:00.000000Z","2025-01-14T08:00:00.000000Z","2025-10-10"
2025,"D107","12335093","1.03.2.15.1.04.03.0000",93,10036135000,18833,"Upload Dokumen Penawaran",1,"PEMASUKAN_PENAWARAN","2025-01-03T17:00:00.000000Z","2025-01-06T09:00:00.000000Z","2025-10-10"
2025,"D107","12335093","1.03.2.15.1.04.03.0000",93,10036135000,18798,"Pembukaan file dokumen penawaran  (dokumen penawaran harga, administrasi dan teknis) serta dokumen kualifikasi",2,"PEMBUKAAN_PENAWARAN","2025-01-06T09:01:00.000000Z","2025-01-06T09:04:00.000000Z","2025-10-10"
2025,"D107","12335093","1.03.2.15.1.04.03.0000",93,10036135000,18781,"Evaluasi penawaran",3,"EVALUASI_PENAWARAN","2025-01-06T09:05:00.000000Z","2025-01-06T23:59:00.000000Z","2025-10-10"
2025,"D107","12335093","1.03.2.15.1.04.03.0000",93,10036135000,18840,,4,"KLARIFIKASI_NEGOSIASI","2025-01-06T13:00:00.000000Z","2025-01-06T23:59:00.000000Z","2025-10-10"
2025,"D107","12335093","1.03.2.15.1.04.03.0000",93,10036135000,18841,,5,"TANDATANGAN_SPK","2025-01-07T08:00:00.000000Z","2025-01-14T08:00:00.000000Z","2025-10-10"
2025,"D107","12335093","1.03.2.15.1.04.03.0000",93,10036136000,18833,"Upload Dokumen Penawaran",1,"PEMASUKAN_PENAWARAN","2025-01-03T17:00:00.000000Z","2025-01-06T09:00:00.000000Z","2025-10-10"
2025,"D107","12335093","1.03.2.15.1.04.03.0000",93,10036136000,18798,"Pembukaan file dokumen penawaran  (dokumen penawaran harga, administrasi dan teknis) serta dokumen kualifikasi",2,"PEMBUKAAN_PENAWARAN","2025-01-06T09:01:00.000000Z","2025-01-06T09:04:00.000000Z","2025-10-10"
2025,"D107","12335093","1.03.2.15.1.04.03.0000",93,10036136000,18781,"Evaluasi penawaran",3,"EVALUASI_PENAWARAN","2025-01-06T09:05:00.000000Z","2025-01-06T23:59:00.000000Z","2025-10-10"
2025,"D107","12335093","1.03.2.15.1.04.03.0000",93,10036136000,18840,,4,"KLARIFIKASI_NEGOSIASI","2025-01-06T13:00:00.000000Z","2025-01-06T23:59:00.000000Z","2025-10-10"
2025,"D107","12335093","1.03.2.15.1.04.03.0000",93,10036136000,18841,,5,"TANDATANGAN_SPK","2025-01-07T08:00:00.000000Z","2025-01-14T08:00:00.000000Z","2025-10-10"
2025,"D107","12335093","1.03.2.15.1.04.03.0000",93,10036139000,18833,"Upload Dokumen Penawaran",1,"PEMASUKAN_PENAWARAN","2025-01-03T17:00:00.000000Z","2025-01-06T14:00:00.000000Z","2025-10-10"
2025,"D107","12335093","1.03.2.15.1.04.03.0000",93,10036139000,18798,"Pembukaan file dokumen penawaran  (dokumen penawaran harga, administrasi dan teknis) serta dokumen kualifikasi",2,"PEMBUKAAN_PENAWARAN","2025-01-06T14:01:00.000000Z","2025-01-06T14:04:00.000000Z","2025-10-10"
2025,"D107","12335093","1.03.2.15.1.04.03.0000",93,10036139000,18781,"Evaluasi penawaran",3,"EVALUASI_PENAWARAN","2025-01-06T14:05:00.000000Z","2025-01-06T23:59:00.000000Z","2025-10-10"
2025,"D107","12335093","1.03.2.15.1.04.03.0000",93,10036139000,18840,,4,"KLARIFIKASI_NEGOSIASI","2025-01-06T15:00:00.000000Z","2025-01-06T23:59:00.000000Z","2025-10-10"
2025,"D107","12335093","1.03.2.15.1.04.03.0000",93,10036139000,18841,,5,"TANDATANGAN_SPK","2025-01-07T08:00:00.000000Z","2025-01-14T08:00:00.000000Z","2025-10-10"
2025,"D107","12335093","1.03.2.15.1.04.03.0000",93,10036140000,18833,"Upload Dokumen Penawaran",1,"PEMASUKAN_PENAWARAN","2025-01-03T17:00:00.000000Z","2025-01-06T09:00:00.000000Z","2025-10-10"
2025,"D107","12335093","1.03.2.15.1.04.03.0000",93,10036140000,18798,"Pembukaan file dokumen penawaran  (dokumen penawaran harga, administrasi dan teknis) serta dokumen kualifikasi",2,"PEMBUKAAN_PENAWARAN","2025-01-06T09:01:00.000000Z","2025-01-06T09:04:00.000000Z","2025-10-10"
